#序號 推導中州音 推導普通話
897 ʈʂʱəŋ˩ cheng2
898 ʈʂʰəŋ cheng1
899 nəŋ˩ neng2
900 pʰəŋ peng1
901 hwəŋ hong1
902 pəŋ beng1
903 ʈʂʱəŋ˩ cheng2
904 ʔwəŋ weng1
905 pʱəŋ˩ peng2
906 (ŋ)iŋ˩ eng2
907 ʈʂəŋ zheng1
908 tsʰiŋ qing1
909 tsʱiŋ˩ qing2
910 tsiŋ jing1
911 jiŋ˩ ying2
912 jyuəŋ˩ yong2
913 ʔiŋ ying1
914 tʃiŋ zheng1
915 tʃʰiŋ cheng1
916 tʃʱiŋ˩ cheng2
917 tʃʱiŋ˩ cheng2
918 ʃiŋ sheng1
919 tʃiŋ zheng1
920 kʰiŋ qing1
921 miŋ˩ ming2
922 liŋ˩ ling2
923 piŋ bing1
924 kʰyuəŋ qiong1
925 sʱiŋ˩ xing2
926 ʔyuəŋ yong1
927 kʱyuəŋ˩ qiong2
928 syuəŋ xing1
929 kʱiŋ˩ qing2
930 hyuəŋ xiong1
931 tsʰiŋ qing1
932 kiŋ jing1
933 ɦiŋ˩ xing2
934 tʱiŋ˩ ting2
935 tiŋ ding1
936 hiŋ xing1
937 siŋ xing1
938 pʰiŋ ping1
939 liŋ˩ ling2
940 niŋ˩ ning2
941 tʰiŋ ting1
942 miŋ˩ ming2
943 pʱiŋ˩ ping2
944 ɦyuəŋ˩ xiong2
945 kyuəŋ jiong1
946 tʃiŋ zheng1
947 tʃʱiŋ˩ cheng2
948 tʃʱiŋ˩ cheng2
949 liŋ˩ ling2
950 ʔiŋ ying1
951 pʱiŋ˩ ping2
952 piŋ bing1
953 jiŋ˩ ying2
954 ʃʱiŋ˩ cheng2
955 ʃiŋ sheng1
956 ʒiŋ˩ reng2
957 kiŋ jing1
958 tʃiŋ zheng1
959 tsʱiŋ˩ qing2
960 ŋiŋ˩/jiŋ˩ ying2
961 hiŋ xing1
962 tʃʰiŋ cheng1
963 kʱiŋ˩ qing2
964 ʂəŋ sheng1
965 kʰiŋ qing1
966 tʃʰiŋ cheng1
967 ʈʂʱəŋ˩ cheng2
968 pʰiŋ ping1
969 təŋ deng1
970 ləŋ˩ leng2
971 səŋ seng1
972 pəŋ beng1
973 tsəŋ zeng1
974 məŋ˩ meng2
975 tsʱəŋ˩ ceng2
976 pʱəŋ˩ peng2
977 ɦwəŋ˩ hong2
978 kwəŋ gong1
979 hwəŋ hong1
980 nəŋ˩ neng2
981 tʱəŋ˩ teng2
982 ɦəŋ˩ heng2
983 kəŋ geng1
984 tʰəŋ teng1
985 pʰəŋ peng1
986 jiw˩ you2
987 ʔiw you1
988 liw˩ liu2
989 tsʰiw qiu1
990 jiw˩ you2
991 ŋiw˩/jiw˩ you2
992 tsiw jiu1
993 tsʱiw˩ qiu2
994 siw xiu1
995 tʃʰiw chou1
996 kʰiw qiu1
997 tʃʰiw chou1
998 tʃiw zhou1
999 tʃʱiw˩ chou2
1000 ʒiw˩ rou2
1001 ʃiw shou1
1002 kʰiw qiu1
1003 fəw fou1
1004 kiw jiu1
1005 fəw fou1
1006 ʂəw shou1
1007 ʈʂʰəw chou1
1008 ʈʂəw zhou1
1009 ʈʂʱəw˩ chou2
1010 hiw xiu1
1011 sʱiw˩ xiu2
1012 tʃʱiw˩ chou2
1013 tʃiw zhou1
1014 kʱiw˩ qiu2
1015 fʱəw˩ fou2
1016 məw˩ miu2
1017 ɦəw˩ hou2
1018 ʔəw ou1
1019 nəw˩ nou2
1020 ləw˩ lou2
1021 səw sou1
1022 kʰəw kou1
1023 həw hou1
1024 tsəw zou1
1025 tʰəw tou1
1026 tʱəw˩ tou2
1027 ŋəw˩ ou2
1028 kəw gou1
1029 təw dou1
1030 tsʱəw˩ cou2
1031 pʱəw˩ pou2
1032 tsʰəw cou1
1033 məw˩ mou2
1034 ʔiw you1
1035 kʱiw˩ qiu2
1036 piw biao1
1037 liw˩ liu2
1038 kiw jiu1
1039 pʱiw˩ piao2
1040 tsiw jiu1
1041 ʂəw shou1
1042 ŋiw˩/jiw˩ you2
1043 hiw xiu1
1044 miw˩ miao2
1045 tsʰim qin1
