#小韻序 字 聲調 韻部 聲紐 韻母 四呼
352 墨密 入去 齊微 明 齊微合 合口
353 立粒笠曆歷櫪瀝癧靂皪力栗 入去 齊微 來 齊微齊 齊齒
354 逸易埸譯驛益溢鎰鷁液腋掖疫役一佾泆逆乙邑憶揖射翊翼 入去 齊微 影 齊微齊 齊齒
355 勒肋 入去 齊微 來 齊微開 開口
356 劇 入去 齊微 見 齊微合 合口
357 匿 入去 齊微 泥 齊微齊 齊齒
358 居裾琚鶋車駒拘俱 陰平 魚模 見 魚模撮 撮口
359 諸猪豬朱姝株蛛誅珠邾侏 陰平 魚模 照 魚模撮 撮口
360 蘇酥㢝甦 陰平 魚模 心 魚模合 合口
361 逋餔晡 陰平 魚模 幫 魚模合 合口
362 樞樗攄 陰平 魚模 穿 魚模撮 撮口
363 粗芻 陰平 魚模 清 魚模合 合口
364 梳蔬疏踈 陰平 魚模 審 魚模合 合口
365 虛墟噓㠊歔吁 陰平 魚模 曉 魚模撮 撮口
366 蛆趍 陰平 魚模 清 魚模撮 撮口
367 疽沮趄苴蛆雎 陰平 魚模 精 魚模撮 撮口
368 孤姑辜鴣酤沽蛄菰䱄 陰平 魚模 見 魚模合 合口
369 枯刳 陰平 魚模 溪 魚模合 合口
370 迂紆於 陰平 魚模 影 魚模撮 撮口
371 嗚污烏 陰平 魚模 影 魚模合 合口
372 書舒輸紓 陰平 魚模 審 魚模撮 撮口
373 區軀驅嶇貙 陰平 魚模 溪 魚模撮 撮口
374 須嬃鬚胥醑需繻 陰平 魚模 心 魚模撮 撮口
375 膚夫鈇玞趺敷麩孚鄜莩枹桴郛 陰平 魚模 非 魚模合 合口
376 呼 陰平 魚模 曉 魚模合 合口
377 初 陰平 魚模 穿 魚模合 合口
378 都 陰平 魚模 端 魚模合 合口
379 租 陰平 魚模 精 魚模合 合口
380 廬閭驢臚簍 陽平 魚模 來 魚模撮 撮口
381 如茹鴽儒薷襦孺嚅濡 陽平 魚模 日 魚模撮 撮口
382 無蕪巫誣 陽平 魚模 微 魚模合 合口
383 模謨摸謀 陽平 魚模 明 魚模合 合口
384 徒圖菟屠荼途瘏駼塗 陽平 魚模 透 魚模合 合口
385 奴孥砮駑 陽平 魚模 泥 魚模合 合口
386 盧蘆顱鱸轤爐櫨瀘纑艫 陽平 魚模 來 魚模合 合口
387 魚漁虞余餘竽予畬雩與輿龡璵舁妤歟譽愚盂隅禺臾榆愉俞覦毹瑜窬逾渝閾於諛萸 陽平 魚模 影 魚模撮 撮口
388 吾浯鋙蜈㻍吳梧娛鼯 陽平 魚模 疑 魚模合 合口
389 雛鋤 陽平 魚模 穿 魚模合 合口
390 殊茱銖洙 陽平 魚模 審 魚模撮 撮口
391 渠蕖磲籧劬瞿衢臞 陽平 魚模 溪 魚模撮 撮口
392 除蜍滁躇廚幮躕儲 陽平 魚模 穿 魚模撮 撮口
393 扶夫蚨符芙鳧浮 陽平 魚模 非 魚模合 合口
394 蒲脯酺蒱 陽平 魚模 滂 魚模合 合口
395 胡糊湖醐瑚鶘壺狐弧乎 陽平 魚模 曉 魚模合 合口
396 殂徂 陽平 魚模 清 魚模合 合口
397 徐 陽平 魚模 心 魚模撮 撮口
398 獨讀牘瀆犢毒突纛 入平 魚模 端 魚模合 合口
399 復佛伏鵩袱服 入平 魚模 非 魚模合 合口
400 鵠鶻斛槲 入平 魚模 曉 魚模合 合口
401 贖屬述秫術术 入平 魚模 審 魚模撮 撮口
402 俗續 入平 魚模 心 魚模撮 撮口
403 逐軸 入平 魚模 照 魚模合 合口
404 族鏃 入平 魚模 精 魚模合 合口
405 僕 入平 魚模 滂 魚模合 合口
406 局 入平 魚模 見 魚模撮 撮口
407 淑蜀孰熟塾 入平 魚模 審 魚模合 合口
408 語雨與圄圉齬敔禦愈羽宇禹庾 上 魚模 影 魚模撮 撮口
409 呂侶旅膂縷僂 上 魚模 來 魚模撮 撮口
410 主煮拄渚麈墅翥 上 魚模 照 魚模撮 撮口
411 汝乳 上 魚模 日 魚模撮 撮口
412 鼠黍暑 上 魚模 審 魚模撮 撮口
413 阻俎 上 魚模 照 魚模合 合口
414 杵楮緒處杼 上 魚模 穿 魚模撮 撮口
415 數所 上 魚模 審 魚模合 合口
416 祖組 上 魚模 精 魚模合 合口
417 武舞鵡侮廡 上 魚模 微 魚模合 合口
418 土吐 上 魚模 透 魚模合 合口
419 魯櫓虜鹵滷 上 魚模 來 魚模合 合口
420 覩堵賭 上 魚模 端 魚模合 合口
421 古罟詁沽牯蠱估盬鼓瞽股羖賈 上 魚模 見 魚模合 合口
422 五午仵忤塢鄔 上 魚模 影 魚模合 合口
423 虎滸 上 魚模 曉 魚模合 合口
424 補浦圃鵏 上 魚模 幫 魚模合 合口
425 普溥譜 上 魚模 滂 魚模合 合口
426 甫斧撫黼脯府俯腑父否 上 魚模 非 魚模合 合口
427 母某牡姥畝 上 魚模 明 魚模合 合口
428 楚礎憷 上 魚模 穿 魚模合 合口
429 舉莒矩櫸 上 魚模 見 魚模撮 撮口
