#index 平小韻 上小韻 去小韻 入小韻 重上歸于去 file_name 增補小韻
1 1 670 1237 1920 FALSE tung.m4a 
2 2 671 1238 1897 FALSE thung.m4a 
3 3 672 1239 1898 TRUE dung.m4a 
4 4 673 1240 1899 FALSE lung.m4a 
5 5 ? ? ? FALSE lyung.m4a 4
6 6 2266 ? 1891 TRUE bung.m4a 
7 7 675 1246 1892 FALSE mung.m4a 
8 8 ? 1234 1895 FALSE tshung.m4a 
9 9 676 1235 ? FALSE tzung.m4a 
10 10 691 1236 1902 FALSE tzyung.m4a 1918
11 11 ? ? 1896 TRUE dzung.m4a 
12 12 ? 1253 ? TRUE dzyung.m4a 
188 182 ? 1450 1928 FALSE tshin.m4a 
189 183 828 1445 1929 FALSE tzin.m4a 
190 184 825 1446 1930 TRUE dzin.m4a 
191 185 865 ? 1934 FALSE phin.m4a 
192 186 864 1439 1931 FALSE pin.m4a 
193 187 824 ? 1932 TRUE bin.m4a 
194 188 831 ? 1933 FALSE min.m4a 
195 189 830 1431 1935 TRUE drin.m4a 
196 190 827 1453 1936 FALSE lin.m4a 
197 191 845 1437 1940 FALSE qin.m4a 
198 192 843 1465 1965 FALSE qyun.m4a 
199 193 ? ? 1937 FALSE nin.m4a 
200 194 839 1467 1955 FALSE jyun.m4a 2292
201 195 844 1463 1944 FALSE kyun.m4a 1963
202 196 832 ? 1942 FALSE kin.m4a 
203 197 848 1457 ? TRUE gin.m4a 
204 198 826 1436 1939 FALSE jin.m4a 
205 199 834 ? 1962 FALSE khyun.m4a 
206 200 ? 1466 1946 FALSE hyun.m4a 1961
207 201 833 1464 1964 TRUE gyun.m4a 
208 202 846 1456 1943 FALSE hin.m4a 
209 203 835 1432 1953 FALSE tcyun.m4a 
210 204 836 ? 1948 FALSE tchyun.m4a 
211 205 ? 1459 1947 TRUE szhyun.m4a 
212 206 838 1442 1949 FALSE syun.m4a 
213 207 ? ? 1950 FALSE tshyun.m4a 
214 208 859 ? ? TRUE dzun.m4a 
215 209 ? 1443 ? TRUE szyun.m4a 
216 210 ? ? 1954 FALSE lyun.m4a 
217 211 840 1460 1958 FALSE vun.m4a 
218 212 842 1462 1959 FALSE fun.m4a 
219 213 841 1461 1960 TRUE fvun.m4a 
220 214 850 1468 1978 TRUE hhun.m4a 
221 215 852 2271 1981 FALSE kun.m4a 
222 216 853 ? 1983 FALSE qun.m4a 
223 217 ? 1469 1979 FALSE hun.m4a 
224 218 851 1470 1980 FALSE khun.m4a 
225 219 854 1440 1968 FALSE pun.m4a 
226 220 ? 1471 1974 FALSE phun.m4a 
227 221 2282 1472 1967 TRUE bun.m4a 
228 222 855 1473 1966 FALSE mun.m4a 
229 223 856 1444 1969 FALSE sun.m4a 
230 224 857 1474 1970 FALSE tshun.m4a 
231 225 858 1448 1971 FALSE tzun.m4a 1475
232 226 ? 1479 1975 FALSE thun.m4a 
233 227 860 1477 ? TRUE dun.m4a 
234 228 ? 1454 1973 FALSE lun.m4a 
235 229 ? 1476 1972 FALSE tun.m4a 
236 230 ? ? 1956 FALSE tcen.m4a 
237 231 ? ? 1957 FALSE shen.m4a 
238 232 ? ? ? TRUE dren.m4a 
239 233 861 1480 1977 TRUE hhen.m4a 
240 234 ? 1481 ? FALSE ken.m4a 
241 235 ? ? ? FALSE qen.m4a 
242 236 863 ? ? FALSE ngen.m4a 
243 237 866 1483 1984 TRUE hhon.m4a 
244 238 ? 1488 ? FALSE ngon.m4a 
245 239 868 1486 1986 FALSE khon.m4a 
246 240 869 1484 1987 FALSE kon.m4a 
247 241 ? 1487 1988 FALSE qon.m4a 
248 242 ? 1490 1991 FALSE hwon.m4a 
249 243 872 ? 1992 FALSE khwon.m4a 
250 244 873 1491 1993 FALSE kwon.m4a 
251 245 871 ? 1994 FALSE qwon.m4a 
252 246 ? 1493 ? FALSE ngwon.m4a 
253 247 ? 1495 1996 FALSE phwon.m4a 
254 248 ? 1494 1995 FALSE pwon.m4a 
255 249 875 1496 1997 TRUE bwon.m4a 
256 250 874 1497 1989 FALSE mwon.m4a 
257 251 876 1498 ? FALSE swon.m4a 
258 252 877 1500 1999 FALSE tzwon.m4a 
259 253 ? 1501 ? TRUE dzwon.m4a 
260 254 878 1502 2000 FALSE twon.m4a 
261 255 879 1503 2001 FALSE thwon.m4a 
262 256 880 1504 2002 TRUE dwon.m4a 
263 257 881 1505 2003 FALSE lwon.m4a 
264 258 870 1489 1990 TRUE hhwon.m4a 
265 259 867 1485 1985 FALSE hon.m4a 
266 260 902 1513 2018 FALSE shan.m4a 
267 261 901 1525 2006 FALSE san.m4a 
268 262 ? 1508 2023 FALSE kwan.m4a 
269 263 ? 1526 ? FALSE qwan.m4a 
270 264 ? 1509 2016 TRUE hhwan.m4a 1516
271 265 ? ? ? FALSE tcwan.m4a 
272 266 894 1506 2014 FALSE kian.m4a 
273 267 895 1527 2005 FALSE jian.m4a 271
274 268 ? 1517 ? FALSE ngwan.m4a 
275 269 889 ? 2017 FALSE pan.m4a 270
276 272 904 1510 ? FALSE phan.m4a 1531
277 273 903 1512 2026 FALSE man.m4a 
278 274 885 1514 2029 TRUE dran.m4a 318
279 274 885 1514 2029 TRUE dran.m4a 1532
280 275 ? 1518 2013 FALSE tshan.m4a 
281 276 900 1523 2011 FALSE lan.m4a 2276
282 277 887 1533 2004 TRUE hhian.m4a 1516
283 278 ? 1530 ? TRUE ban.m4a 
284 279 ? ? 2022 FALSE khian.m4a 
285 280 888 1507 2015 FALSE qian.m4a 
286 281 890 1511 2033 FALSE fan.m4a 1534
287 282 ? 1535 2031 TRUE fvan.m4a 
288 283 893 1520 2007 TRUE dzan.m4a 896
289 284 898 1524 2008 FALSE tan.m4a 
290 285 2283 1521 2010 FALSE than.m4a 2027
291 286 899 1522 2009 TRUE dan.m4a 
292 287 ? ? ? FALSE hwan.m4a 
293 288 886 1528 2012 FALSE nan.m4a 
294 289 884 ? 2024 FALSE shwan.m4a 2076
295 290 905 1537 2034 FALSE sien.m4a 
296 291 910 1543 2058 FALSE thien.m4a 
297 292 919 1538 2075 FALSE tshien.m4a 
298 293 920 1579 2056 FALSE tzien.m4a 
299 294 921 1539 2057 TRUE dzien.m4a 1541
300 295 906 1558 2040 FALSE pien.m4a 
301 296 ? 1560 2050 FALSE phien.m4a 
302 297 908 1561 2047 FALSE mien.m4a 
303 298 909 1542 ? FALSE tien.m4a 
304 299 911 1544 2073 TRUE dien.m4a 
305 300 912 1554 2071 FALSE nien.m4a 933
306 301 931 1545 2041 FALSE lien.m4a 
